source,source_id,company,title,url,location,remote_status,florida_eligible,salary_min,salary_max,score,decision,reasons,gaps
lever,371d9d87-3684-4acb-b73c-202855b329a6,Arcadia,"Senior / Lead Analyst, Customer Insights",https://jobs.lever.co/arcadia/371d9d87-3684-4acb-b73c-202855b329a6,Remote (USA),remote,True,125000,145000,64,review,"Role-family alignment: +5. | Verified remote arrangement: +15. | Florida eligibility verified: +10. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (project management, workflow, automation, stakeholder, ai): +14.",
lever,f05fbca8-fea6-45d4-948d-4e16b14eac9e,Rover,Senior Marketing Manager,https://jobs.lever.co/rover/f05fbca8-fea6-45d4-948d-4e16b14eac9e,Remote,remote,,153430,190766,59,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, implementation, workflow, automation, stakeholder, ai): +19.",Florida eligibility is unknown.
lever,de04a85c-78c2-4b90-ad4e-31c94e0987f3,Arcadia,Revenue Operations Staff Systems Engineer,https://jobs.lever.co/arcadia/de04a85c-78c2-4b90-ad4e-31c94e0987f3,Remote (USA),remote,True,,,55,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Florida eligibility verified: +10. | Evidence-aligned keywords (operations, implementation, customer operations, salesforce, workflow, automation): +25.",Role is not clearly full-time employment. | Compensation is not published or verified.
lever,4102c7dd-e2b8-44d6-90e0-d0076e888dbb,Swiftly,"Engineering Manager, IoT",https://jobs.lever.co/goswift/4102c7dd-e2b8-44d6-90e0-d0076e888dbb,United States,remote,,155000,240000,50,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, implementation, ai): +10.",Florida eligibility is unknown.
lever,27185ca2-8b98-4b80-9098-e69b74818b61,Arcadia,"Director, Training and Enablement",https://jobs.lever.co/arcadia/27185ca2-8b98-4b80-9098-e69b74818b61,Remote (USA),remote,True,,,49,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Florida eligibility verified: +10. | Evidence-aligned keywords (operations, implementation, workflow, automation, stakeholder, ai): +19.",Compensation is not published or verified.
lever,441b155c-f843-4767-b216-d0b709207dd7,Agile Defense,Senior Solutions Architect,https://jobs.lever.co/agile-defense/441b155c-f843-4767-b216-d0b709207dd7,Remote,remote,,180000,200000,48,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (project management, automation, ai): +8.",Florida eligibility is unknown.
lever,bc61c1d1-8824-43b3-a90d-a0016c8c5989,Arcadia,Head of Revenue Operations,https://jobs.lever.co/arcadia/bc61c1d1-8824-43b3-a90d-a0016c8c5989,Remote (USA),remote,True,,,48,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Florida eligibility verified: +10. | Evidence-aligned keywords (operations, crm, salesforce, workflow, automation, ai): +18.",Compensation is not published or verified.
lever,af9ca658-6c46-46fd-a02b-6a3d2d0b0811,Arcadia,Implementation Manager,https://jobs.lever.co/arcadia/af9ca658-6c46-46fd-a02b-6a3d2d0b0811,"Boston, MA",remote,,,,48,verify,"Role-family alignment: +17. | Verified remote arrangement: +15. | Evidence-aligned keywords (process improvement, implementation, project management, stakeholder, ai): +16.",Role is not clearly full-time employment. | Florida eligibility is unknown. | Compensation is not published or verified.
lever,a00434ae-8717-4601-9869-209f0ac58f8b,Arbital Health,Technical Implementation Manager,https://jobs.lever.co/arbitalhealth/a00434ae-8717-4601-9869-209f0ac58f8b,Remote,remote,,,,47,verify,"Role-family alignment: +17. | Verified remote arrangement: +15. | Evidence-aligned keywords (implementation, workflow, automation, stakeholder, ai): +15.",Florida eligibility is unknown. | Compensation is not published or verified.
lever,facff254-78e3-4328-83f4-fd13fa7ef627,Arcadia,Enterprise Implementation Manager,https://jobs.lever.co/arcadia/facff254-78e3-4328-83f4-fd13fa7ef627,Remote,remote,,,,47,verify,"Role-family alignment: +17. | Verified remote arrangement: +15. | Evidence-aligned keywords (implementation, project management, workflow, stakeholder, ai): +15.",Florida eligibility is unknown. | Compensation is not published or verified.
lever,8d01e985-fc84-4097-ab31-ca2a328d8e11,Arcadia,"Principal Product Manager, AI Product",https://jobs.lever.co/arcadia/8d01e985-fc84-4097-ab31-ca2a328d8e11,Remote (USA),remote,True,,,46,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Florida eligibility verified: +10. | Evidence-aligned keywords (operations, implementation, workflow, automation, ai): +16.",Compensation is not published or verified.
lever,5e98cddf-65e5-427a-807b-bc604802eb86,Swiftly,Senior Software Engineer (IoT),https://jobs.lever.co/goswift/5e98cddf-65e5-427a-807b-bc604802eb86,British Columbia,remote,,124000,205000,46,verify,"Role-family alignment: +5. | Verified remote arrangement: +15. | Published base floor is at least $110,000: +20. | Evidence-aligned keywords (operations, ai): +6.",Florida eligibility is unknown.
